words   tx-cycles   rx-cycles   abs-cycles
4       578         415         993
500     798         399         1197
1000    979         416         1395
1500    1168        401         1569
2000    1342        398         1740
2500    1558        418         1976
3000    1744        430         2174
3500    1975        427         2402
4000    2119        428         2547
